session_duration_sec,cart_value,total_lifetime_spend,total_orders,days_since_last_order,category_match,loyalty_tier_score,purchased
115.6,53.11,119.31,1,19,0,2,0
627.2,220.71,306.29,5,28,0,3,1
611.5,23.48,669.98,5,23,1,1,1
360.1,46.46,456.8,5,44,0,1,0
77.8,71.65,300.95,5,35,1,1,0
102.5,20.48,99.86,4,14,1,1,0
357.9,41.15,86.87,4,25,1,1,1
83.6,186.62,395.63,6,58,0,3,0
48.4,102.5,96.08,2,33,0,1,0
161.5,40.94,107.39,4,102,1,1,0
510.2,40.15,91.87,1,47,1,1,0
229.3,23.6,297.09,2,22,1,4,0
166.9,44.66,224.71,3,55,1,2,0
33.4,82.9,91.77,1,20,0,2,0
186.8,74.52,145.72,3,8,1,1,0
844.9,46.17,186.56,4,33,0,2,1
42.2,31.97,250.75,4,15,0,2,0
146.5,52.66,385.67,3,1,1,3,0
392.7,51.94,1014.12,7,8,0,1,0
258.0,94.76,464.66,4,7,0,3,0
229.9,68.11,113.36,5,53,0,1,0
233.2,62.65,230.98,3,43,1,1,0
95.2,118.98,298.77,4,32,0,2,0
77.6,144.02,424.73,3,90,0,1,0
313.3,73.97,935.39,8,7,1,3,1
314.0,75.08,225.74,2,6,1,1,1
378.2,54.97,560.53,6,79,0,1,0
455.0,33.83,519.79,5,35,0,1,0
143.9,99.27,554.1,5,27,1,1,0
140.3,88.06,0.0,0,999,0,4,0
303.2,57.79,778.97,6,11,1,1,1
203.9,68.24,74.39,3,30,0,1,0
232.9,114.34,284.76,2,19,1,1,1
301.0,125.73,602.83,5,13,1,3,1
412.3,10.43,88.77,1,69,1,1,0
89.2,39.21,131.84,1,6,0,2,0
99.8,57.67,382.91,3,1,1,1,0
32.8,28.82,298.08,4,15,1,2,0
170.4,69.34,387.53,3,8,0,2,0
21.6,40.55,133.45,3,55,1,4,0
127.8,70.77,323.98,4,5,1,1,0
155.8,41.35,50.2,1,92,1,1,0
75.8,42.48,72.34,2,7,0,2,0
175.9,70.44,408.9,3,73,1,1,0
20.6,101.84,203.11,3,7,0,2,0
21.9,85.02,435.88,4,2,0,2,0
326.3,57.98,275.05,4,22,1,3,1
95.4,16.53,453.68,5,15,0,2,0
39.5,41.82,65.25,1,30,1,1,0
148.0,38.95,699.33,6,34,0,1,0
279.5,91.27,244.48,2,90,0,1,0
58.8,65.18,531.78,7,101,0,2,0
190.5,66.66,527.0,4,23,1,2,1
31.1,34.85,132.38,2,8,1,2,0
24.6,128.71,357.36,3,10,0,4,0
151.4,66.39,731.56,7,4,1,1,1
155.0,33.49,396.39,5,11,1,3,0
197.6,35.07,271.12,2,80,1,1,0
248.1,72.34,283.18,3,15,0,4,0
685.2,32.67,646.12,5,33,0,1,0
145.7,39.27,346.0,3,131,0,3,0
85.2,27.91,89.23,1,4,0,1,0
300.4,90.82,374.61,6,50,0,1,0
71.9,33.18,1149.18,8,40,1,4,1
119.0,141.24,164.26,6,57,1,1,0
29.7,77.85,272.57,2,5,1,2,0
19.6,27.83,429.16,5,23,0,1,0
606.7,84.56,586.68,5,33,1,2,1
340.4,128.84,126.87,2,47,1,2,0
229.3,56.43,279.79,4,41,1,2,0
109.7,137.73,134.39,3,28,1,1,0
49.3,78.74,576.26,4,21,0,1,0
45.6,40.58,25.63,1,94,0,1,0
66.8,188.34,281.15,4,7,0,2,0
158.4,23.17,508.09,8,8,0,2,0
240.7,48.17,754.2,6,4,1,2,1
209.3,57.98,511.24,6,4,1,3,1
74.1,169.87,167.93,4,68,0,1,0
572.7,92.08,86.17,1,31,1,3,1
256.0,83.02,152.05,3,90,0,1,0
160.5,36.67,133.35,6,72,0,2,0
185.3,55.11,453.95,5,12,1,1,1
112.9,41.19,200.56,3,34,1,1,0
66.2,81.36,408.44,8,16,0,1,0
94.2,116.95,254.35,6,69,1,1,0
270.3,213.57,236.94,3,44,0,4,1
17.6,44.19,399.15,3,5,0,1,0
37.2,22.73,829.9,7,10,0,1,0
23.5,48.68,164.82,8,36,1,2,0
22.5,107.62,230.1,2,10,0,1,0
363.2,33.81,88.36,3,26,1,1,0
233.9,59.28,547.44,6,10,1,2,0
130.7,83.65,242.81,2,38,1,1,0
33.5,44.76,394.64,5,3,1,4,1
136.8,68.15,137.94,2,42,1,2,0
130.5,31.71,710.66,5,14,0,1,0
49.2,121.76,0.0,0,999,1,4,0
117.4,51.02,67.55,2,22,0,3,0
106.5,66.95,399.43,3,8,0,1,0
187.2,16.99,135.21,1,94,1,1,0
196.5,28.87,136.91,2,1,0,2,0
23.3,105.5,270.68,3,16,1,2,0
99.5,44.36,124.11,3,5,1,2,0
192.0,32.76,404.87,3,15,0,1,0
140.9,21.53,161.96,2,4,0,1,0
364.4,120.41,466.66,5,16,0,2,1
208.5,89.72,0.0,0,999,1,2,0
47.0,86.23,399.71,4,27,0,4,0
28.2,148.73,552.29,5,1,0,2,0
200.1,48.2,174.94,3,24,1,1,0
19.8,22.92,818.99,6,11,1,1,0
173.6,61.43,139.52,3,13,1,1,0
522.1,165.47,819.96,6,15,1,1,1
169.2,62.21,445.74,4,35,0,1,0
103.4,115.16,896.07,7,47,1,2,1
200.5,23.5,221.76,2,14,1,4,0
125.3,36.18,151.39,2,86,0,2,0
157.0,101.8,189.31,3,46,0,1,0
525.9,66.11,346.29,3,17,0,3,1
102.8,55.78,293.81,5,4,0,3,0
599.8,114.22,56.08,2,27,0,1,0
439.4,101.0,156.33,3,32,0,2,0
54.2,67.21,236.36,2,5,1,1,0
27.9,10.51,246.24,2,63,1,1,0
34.1,59.84,55.96,1,16,1,1,0
18.3,77.29,187.89,3,6,0,4,0
32.9,17.29,548.48,6,25,1,3,0
221.8,75.72,216.22,4,18,1,1,0
28.3,117.29,691.62,7,34,1,2,0
84.1,59.77,170.0,3,7,0,1,0
350.4,30.36,321.42,9,1,1,2,1
19.2,11.34,160.51,4,22,0,3,0
318.2,76.63,262.86,5,6,1,1,0
74.6,18.76,209.14,5,6,1,1,0
37.6,85.8,439.99,3,38,0,2,0
229.8,160.79,739.12,7,10,1,1,1
193.5,37.29,129.91,3,61,1,3,1
392.9,51.82,225.32,3,24,0,2,1
254.1,166.2,274.93,5,31,0,3,0
307.9,64.32,217.98,2,13,0,1,0
74.6,44.65,1194.71,9,9,0,1,0
50.2,107.62,360.54,5,6,1,3,1
265.0,46.22,681.74,9,41,1,3,1
311.0,35.68,215.4,3,39,1,1,0
853.3,85.01,548.79,7,23,1,3,1
110.8,112.75,123.3,5,50,0,3,0
98.7,35.52,485.19,5,54,0,1,0
284.6,67.62,1150.12,8,20,1,3,1
90.0,53.26,732.55,6,35,0,1,0
495.6,58.73,527.93,4,80,0,1,0
366.9,30.56,248.94,5,3,0,2,0
115.9,88.91,296.8,3,1,1,3,0
265.2,140.9,1496.95,11,22,1,2,1
267.8,34.99,202.43,7,14,1,1,1
34.6,88.87,402.13,3,3,1,1,0
434.1,106.15,85.16,3,6,1,1,1
141.7,67.32,591.2,4,10,1,2,1
330.2,86.63,185.46,6,4,0,2,0
84.4,37.68,135.67,2,13,0,2,0
421.6,136.26,189.73,7,5,1,1,1
103.7,113.26,109.52,4,33,0,3,0
17.0,120.92,663.08,5,40,0,3,0
439.4,27.2,84.81,3,50,0,1,0
32.2,80.15,492.16,4,67,1,2,0
84.2,39.51,413.68,3,1,0,1,0
554.5,143.12,283.11,2,7,1,2,1
556.4,35.47,793.95,6,56,1,1,1
168.4,68.99,288.34,2,2,1,3,0
194.9,14.2,133.67,5,36,0,4,0
122.1,68.77,299.12,2,7,1,2,0
77.5,27.41,135.98,6,24,0,1,0
86.7,82.63,249.88,6,108,1,2,0
215.9,54.25,91.57,3,35,1,1,0
266.3,47.1,233.44,2,16,1,1,0
297.3,145.25,156.57,5,39,0,2,0
295.6,196.05,348.29,6,1,1,1,1
32.2,22.27,617.7,6,99,0,1,0
137.8,48.07,169.48,2,14,1,2,0
25.7,97.36,263.97,7,129,1,1,0
158.5,74.6,175.6,2,38,1,2,0
119.9,94.19,128.57,2,12,1,1,0
408.6,56.72,288.52,3,32,1,3,1
92.8,116.03,360.02,4,16,1,3,1
37.4,67.17,743.18,5,34,1,3,1
42.8,77.28,793.54,6,52,0,1,0
273.0,27.44,0.0,0,999,0,4,0
188.3,63.03,42.88,1,9,0,1,0
34.2,97.99,416.12,3,131,1,3,0
30.8,72.12,360.52,4,18,1,1,0
232.3,64.76,949.85,8,7,1,4,1
28.6,80.21,683.65,8,45,1,1,1
325.5,66.93,244.3,2,35,1,2,1
235.5,57.9,74.52,2,56,0,4,0
30.3,99.8,695.56,6,1,1,2,0
31.0,55.44,665.24,5,15,1,2,0
791.8,26.3,272.67,5,13,1,2,1
99.4,141.41,135.78,2,85,1,4,1
98.3,40.29,677.43,7,15,0,2,0
316.6,21.52,132.87,1,25,1,1,0
544.6,86.21,552.05,4,1,1,1,1
783.4,152.05,178.95,2,55,0,2,1
267.0,87.44,738.84,7,4,1,1,1
100.0,129.69,1201.31,9,71,0,1,0
30.7,32.95,100.14,2,44,0,2,0
285.2,26.55,381.83,3,27,1,1,1
162.1,47.96,270.21,5,46,1,1,0
114.4,111.01,382.12,4,52,0,2,0
441.3,82.81,141.51,1,46,0,3,0
36.2,86.5,86.49,1,36,0,1,0
137.1,64.74,64.29,2,70,0,1,0
17.1,48.56,272.91,2,19,1,1,0
128.8,66.54,480.23,5,28,1,3,1
25.4,54.23,175.5,6,115,1,1,0
37.8,46.43,42.74,2,16,0,1,0
37.5,75.84,161.9,3,46,1,3,0
203.6,51.03,213.83,6,17,1,2,0
261.7,70.67,101.7,1,21,1,3,1
172.6,15.25,195.15,2,14,1,1,0
604.4,67.15,775.89,6,6,1,1,1
99.6,50.83,433.68,5,118,1,1,0
75.6,133.8,264.53,5,20,1,2,0
380.3,20.88,26.54,1,11,0,1,0
60.6,64.14,85.46,4,35,0,1,0
609.5,98.69,0.0,0,999,1,4,1
17.2,55.59,38.79,1,26,1,1,0
645.5,49.75,339.58,4,29,1,2,1
22.9,98.49,493.29,4,8,1,2,1
414.2,81.59,140.72,1,106,1,1,0
150.0,85.29,231.1,5,30,1,2,0
907.2,46.49,150.45,3,9,1,1,1
28.8,42.85,43.37,1,59,1,1,0
160.3,70.73,121.98,3,13,1,1,0
642.0,103.35,158.29,2,43,0,2,1
148.3,24.12,718.67,7,33,0,4,0
193.7,56.83,559.07,5,6,1,1,0
229.2,44.08,62.54,1,4,0,3,0
124.1,61.12,606.57,6,31,1,3,1
192.8,93.23,142.16,7,37,1,1,0
173.0,35.03,406.43,3,5,0,1,0
431.6,87.12,798.41,6,7,0,1,1
23.4,47.49,362.92,4,2,0,1,0
74.4,113.01,154.91,3,5,0,1,0
555.7,36.38,439.17,3,30,1,2,1
412.7,102.51,501.53,4,8,0,2,1
124.5,25.84,88.82,4,12,0,2,0
189.2,67.89,486.32,6,27,1,1,0
73.5,88.21,133.08,4,18,0,1,0
52.5,37.01,148.77,4,62,1,1,0
127.2,12.67,121.02,6,28,0,2,0
93.5,45.02,656.42,6,5,1,1,0
172.7,61.53,316.97,6,16,1,1,0
29.6,49.64,238.52,4,10,0,1,0
674.7,42.37,182.8,7,10,0,2,1
786.1,99.37,84.13,4,10,0,2,1
230.6,119.79,369.16,3,18,0,3,1
153.3,115.68,317.95,3,5,1,2,0
81.7,79.57,348.51,5,10,1,2,0
317.6,86.06,116.35,4,40,0,1,0
222.8,33.12,362.57,3,58,1,3,1
46.9,58.08,421.28,3,1,0,1,0
450.3,64.65,88.57,1,3,0,2,0
326.2,72.27,190.32,5,64,0,1,0
553.5,71.51,104.83,1,8,0,2,0
247.8,61.62,58.59,2,13,1,1,0
186.1,79.03,332.15,8,14,0,2,0
112.5,69.62,405.98,5,66,0,1,0
500.8,69.52,261.87,5,6,0,1,1
376.9,38.62,422.78,3,55,0,2,0
23.3,28.32,125.15,1,21,0,1,0
19.8,72.49,111.96,2,51,0,3,0
100.0,46.27,871.76,6,39,1,1,0
314.5,39.78,276.71,4,44,0,2,0
800.6,89.55,187.78,2,4,0,3,1
44.3,58.47,279.97,3,13,1,1,0
177.3,130.04,626.68,6,9,0,1,0
101.3,84.01,155.02,3,5,1,4,0
645.7,37.1,559.47,4,34,1,1,1
347.3,90.2,218.15,4,39,0,2,0
343.0,76.81,745.01,7,6,1,3,1
128.8,36.21,358.65,3,49,1,1,0
111.5,42.79,672.98,5,12,1,2,1
72.5,87.71,397.01,5,16,0,2,0
25.4,18.09,450.08,4,165,0,1,0
375.1,13.85,124.4,4,7,0,2,0
316.7,67.18,242.29,2,5,1,3,1
1486.0,64.19,354.71,3,11,1,1,1
1040.1,70.8,146.76,2,89,1,1,1
160.9,64.3,303.75,5,5,1,1,0
278.8,78.43,208.28,3,32,0,4,0
536.3,120.75,0.0,0,999,0,1,0
356.1,60.82,720.4,7,84,0,1,1
66.1,22.84,277.39,2,22,1,2,0
122.8,16.68,532.72,5,21,1,1,0
39.9,48.84,286.4,3,58,1,1,0
569.4,49.64,595.17,4,8,1,1,1
182.7,25.45,180.88,2,21,0,3,0
61.7,12.26,454.71,7,34,0,3,0
215.5,46.62,334.82,3,40,1,1,0
188.3,151.6,351.14,4,4,0,1,0
94.8,76.54,439.11,3,67,1,1,0
36.7,72.61,683.67,5,56,0,1,0
215.4,54.58,143.09,1,13,0,1,0
147.2,48.79,100.66,5,22,0,1,0
281.4,81.14,126.89,2,16,1,1,0
147.2,27.46,406.15,4,131,0,1,0
359.1,174.7,60.08,1,29,0,1,0
159.5,28.83,316.01,3,11,0,1,0
163.2,85.5,564.72,5,45,0,1,0
391.7,30.59,404.11,4,57,1,1,0
108.0,65.28,79.57,1,43,1,2,0
40.9,90.92,663.47,6,3,0,1,0
20.3,20.0,485.8,4,12,1,1,0
268.3,32.82,331.47,3,15,1,2,1
189.3,34.24,502.24,4,9,1,1,0
234.2,51.37,1002.0,7,22,1,1,1
58.1,70.22,133.31,4,13,0,1,0
41.4,153.39,689.17,5,2,1,3,1
17.6,42.55,222.23,4,35,0,1,0
92.7,147.72,279.87,3,19,0,3,0
175.5,74.94,712.54,5,1,1,2,0
104.6,28.19,201.22,2,89,1,3,0
118.6,54.73,123.77,4,35,0,2,0
437.1,23.1,169.8,2,3,0,1,0
92.1,48.86,817.59,6,73,1,2,0
144.9,46.77,220.72,3,18,0,2,0
290.6,65.94,260.47,2,9,0,2,0
105.9,85.66,246.49,2,2,0,2,0
190.2,57.39,1102.69,8,45,1,1,1
372.0,30.33,162.6,3,115,1,1,0
552.5,129.72,338.21,4,7,1,4,1
43.6,159.14,190.73,3,18,1,3,0
485.1,53.99,447.27,5,9,0,1,0
137.0,72.98,44.97,2,28,0,4,0
68.8,52.17,51.42,1,68,0,1,0
125.6,66.26,733.12,5,5,0,1,0
719.5,68.39,984.07,10,12,0,2,1
137.1,25.71,170.13,4,6,1,2,0
86.8,49.43,344.33,4,9,1,3,0
195.6,107.76,885.91,8,5,1,2,1
64.4,102.35,590.9,6,34,1,2,1
29.2,48.86,85.25,1,2,0,4,0
39.8,69.18,322.84,3,43,1,2,0
39.7,51.19,83.41,2,6,0,1,0
44.7,87.61,307.86,4,11,1,2,0
41.9,19.88,117.53,1,14,0,2,0
199.3,81.28,95.33,1,16,0,3,0
51.1,134.77,0.0,0,999,1,1,0
91.3,38.35,388.44,5,23,1,1,0
423.8,124.25,111.55,3,74,1,1,0
130.6,71.27,52.68,2,21,0,3,0
213.2,57.3,246.2,3,1,1,4,1
49.0,48.63,153.77,2,15,1,1,0
53.4,126.78,213.39,4,17,1,2,1
22.5,51.29,483.84,5,11,0,1,0
48.3,146.56,157.57,3,12,0,2,0
73.8,136.86,144.37,3,8,1,1,0
50.1,44.39,201.78,2,104,1,4,0
31.7,53.67,142.84,1,25,1,1,0
38.1,16.09,185.44,4,26,0,2,0
126.2,58.46,175.07,4,19,1,2,0
56.6,62.99,175.03,2,32,1,3,0
96.5,114.47,106.58,3,19,0,2,0
141.0,141.17,116.46,2,39,1,1,0
226.0,92.5,743.99,5,4,1,1,1
22.2,109.05,388.01,3,1,0,2,0
304.2,53.65,782.57,7,28,0,1,0
192.9,26.8,140.3,6,44,1,2,0
30.4,71.19,108.92,2,37,0,2,0
387.3,113.35,282.17,3,17,0,1,0
471.6,9.28,674.02,6,1,0,3,1
26.3,64.83,748.22,7,5,0,2,0
73.4,17.59,132.33,3,17,0,3,0
310.4,36.38,322.47,4,36,1,1,1
263.3,66.41,229.03,5,13,0,3,0
51.7,142.51,700.32,5,25,1,2,0
57.3,60.93,369.86,4,7,0,2,0
98.3,88.96,212.2,3,7,0,2,0
134.3,70.77,975.4,7,45,1,2,0
188.3,37.81,962.6,7,19,0,3,1
97.9,79.24,427.67,5,98,1,4,0
126.8,26.32,437.12,4,8,1,1,0
262.7,60.39,184.35,3,20,1,2,1
21.7,125.39,239.98,4,7,1,1,0
67.4,67.54,0.0,0,999,1,1,0
